"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","kod_sdmx"
"CS","LSTOBC",3228,"1420","Česká republika a Nauru","Česká republika a Republika Nauru","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1424","Česká republika a Nepál","Česká republika a Nepál","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1428","Česká republika a Nizozemsko","Česká republika a Nizozemské království","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1430","Česká republika a Nizozemské Antily","Česká republika a Nizozemské Antily","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1433","Česká republika a Aruba","Česká republika a Aruba","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"144","Srí Lanka","Srílanská demokratická socialistická republika","2009-01-01","9999-09-09","LK"
"CS","LSTOBC",3228,"1440","Česká republika a Nová Kaledonie","Česká republika a Nová Kaledonie","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1448","Česká republika a Vanuatu","Česká republika a Republika Vanuatu","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1454","Česká republika a Nový Zéland","Česká republika a Nový Zéland","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1458","Česká republika a Nikaragua","Česká republika a Nikaragujská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1462","Česká republika a Niger","Česká republika a Nigerská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1466","Česká republika a Nigérie","Česká republika a Nigérijská federativní republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1478","Česká republika a Norsko","Česká republika a Norské království","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"148","Čad","Čadská republika","2009-01-01","9999-09-09","TD"
"CS","LSTOBC",3228,"1483","Česká republika a Mikronésie","Česká republika a Federativní státy Mikronésie","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1484","Česká republika a Marshallovy ostrovy","Česká republika a Republika Marshallovy ostrovy","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1485","Česká republika a Palau","Česká republika a Republika Palau","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1486","Česká republika a Pákistán","Česká republika a Pákistánská islámská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1491","Česká republika a Panama","Česká republika a Panamská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1498","Česká republika a Papua Nová Guinea","Česká republika a Papua Nová Guinea","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1500","Česká republika a Paraguay","Česká republika a Paraguayská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1504","Česká republika a Peru","Česká republika a Peruánská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1508","Česká republika a Filipíny","Česká republika a Filipínská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1512","Česká republika a Pitcairn","Česká republika a Pitcairn","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1516","Česká republika a Polsko","Česká republika a Polská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"152","Chile","Chilská republika","2009-01-01","9999-09-09","CL"
"CS","LSTOBC",3228,"1520","Česká republika a Portugalsko","Česká republika a Portugalská republika","2009-01-01","9999-09-09","NAT"
